"Load Group","SCH PKP Date","PKP City","DLV City","Dole Order #","Carrier Name","SCH DLV Date","SCH DLV Time","Last Carrier ETA Date and Time","Carrier Late Reason","Rem Miles","CarrierInstructions","Late Source","TMS Load #","Last Loc of Truck Date /Time ","Carrier DLV Arrv Date","TMS Load Status","Load On -Time "
"EAST REGIONAL IB","09/20/22","ELMORE","SPRINGFIELD","9TTCI","DANCER LOGISTICS","09/20/22","18:00","09/20/22 19:41","Other","0","","EDI","13576339","09/20/22 19:42","09/20/22 19:41","Delivered","N"
"EAST REGIONAL IB","09/20/22","DEERFIELD","SPRINGFIELD","9TTDD","CORCORAN TRUCKING","09/20/22","17:00","","","0","","","13576360","09/20/22 18:25","09/20/22 17:10","Delivered","Y"
"EAST REGIONAL IB","09/20/22","DEERFIELD","SPRINGFIELD","9TTDF","DANCER LOGISTICS","09/20/22","16:00","09/20/22 18:00","Traffic/Road Conditions","0","","EDI","13576361","09/20/22 18:36","09/20/22 17:55","Delivered","N"
"EAST REGIONAL IB","09/20/22","IMLAY CITY","SPRINGFIELD","9TTEP","Transloop Logistics","09/20/22","16:00","09/20/22 15:30","","0","","","13576727","09/20/22 17:12","09/20/22 15:00","Delivered","Y"
"EAST REGIONAL IB","09/20/22","DEERFIELD","BESSEMER CITY","9TTEX","DANCER LOGISTICS","09/21/22","17:00","09/21/22 17:00","","0","","","13576768","09/22/22 09:34","09/22/22 09:33","Delivered","Y"
"EAST REGIONAL IB","09/20/22","ELMORE","BESSEMER CITY","9TTEV","Transloop Logistics","09/21/22","14:00","09/21/22 13:00","","0","","","13576767","09/21/22 15:52","09/21/22 12:30","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TSVA","CENTRAL TRUCKING INC CTI","09/22/22","20:00","09/22/22 20:00","","0","","","13576164","09/22/22 15:15","09/22/22 10:30","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","97YMJ","PRIME INC","09/22/22","20:00","09/23/22 03:00","Shipper Related","634","","EDI","13575495","09/22/22 12:59","","Transit","N"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","97YZX","CENTRAL TRUCKING INC CTI","09/22/22","20:00","09/22/22 20:00","","0","","","13576164","09/22/22 15:15","09/22/22 10:30","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","SPRINGFIELD","9TTIS","CENTRAL TRUCKING INC CTI","09/22/22","16:00","09/22/22 15:00","","0","","","13577641","09/22/22 12:55","09/22/22 11:23","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","97YMM","KENNESAW TRANSPORTATION INC","09/22/22","20:00","09/22/22 07:00","","0","","","13574786","09/22/22 05:56","09/22/22 06:07","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOL","KENNESAW TRANSPORTATION INC","09/22/22","20:00","09/22/22 07:00","","0","","","13574786","09/22/22 05:56","09/22/22 06:07","Delivered","Y"
"WEST TO EAST IB","09/19/22","MARINA","BESSEMER CITY","9TSOY","KENNESAW TRANSPORTATION INC","09/22/22","18:00","09/22/22 14:00","","0","","","13574793","09/22/22 13:47","09/22/22 13:59","Delivered","Y"
